episodes,std_return,steps,avg_return,iteration
50,45.61685699382956,50000,-95.66101927410367,0
100,44.07415294952937,100000,-4.870892989005335,1
150,35.96637608608066,150000,88.91744344564025,2
200,55.33407536065107,200000,146.0469202941306,3
250,123.54850759168146,250000,158.91233133373865,4
300,53.4746351885999,300000,238.01563611210835,5
350,59.46322224541582,350000,337.9944163597356,6
400,126.90416950292784,400000,323.62025844871755,7
450,102.40331062442316,450000,495.50743649682215,8
500,204.551876826679,500000,437.23386377447343,9
550,52.35632766265066,550000,538.2623289184714,10
600,62.43799970737012,600000,629.5298896504484,11
650,99.39401700451006,650000,665.8667592358198,12
700,333.05808468280327,700000,707.5495159475483,13
750,76.15104242213306,750000,939.266273972632,14
800,101.26749656022386,800000,1168.773143796961,15
850,128.71560380046077,850000,1310.3947482618319,16
900,364.99570091736575,900000,1362.0410356807722,17
950,134.9188970578952,950000,1731.0331886906952,18
1000,90.19924187045464,1000000,1885.5122393380927,19
1050,91.07020904716936,1050000,2069.6942700149657,20
1100,67.10558564205304,1100000,2187.921393459946,21
1150,115.8820314820216,1150000,2375.3704607553223,22
1200,78.12179457459558,1200000,2405.163045303117,23
1250,118.95488510171405,1250000,2470.2323985244893,24
1300,103.35407091450708,1300000,2618.679561532562,25
1350,64.03851941360172,1350000,2792.695088500574,26
1400,87.07805737956403,1400000,2918.072631012753,27
1450,59.83300986921838,1450000,3045.4477228707196,28
1500,64.29191763122792,1500000,3103.999471251812,29
1550,37.165701642033014,1550000,3156.4492526238078,30
1600,60.4211230562172,1600000,3262.944933228023,31
1650,51.71296428536163,1650000,3317.166896078418,32
1700,70.40507185339175,1700000,3388.0056641519704,33
1750,59.55072532789199,1750000,3450.2173963893574,34
1800,42.43540223628088,1800000,3509.385342836372,35
1850,44.52526240268222,1850000,3512.944196140961,36
1900,35.96068379767201,1900000,3637.8584907427203,37
1950,21.83860619307884,1950000,3679.008661756611,38
2000,68.78037554767585,2000000,3724.6323031562206,39
2050,64.5708107117903,2050000,3746.396756974866,40
2100,83.33594047354438,2100000,3778.998652736687,41
2150,84.80547018622502,2150000,3837.5491781760547,42
2200,40.3674834427527,2200000,3866.4847093568555,43
2250,47.269418406221575,2250000,3899.526437515941,44
2300,71.60672873532481,2300000,3974.496422125172,45
2350,71.28413782021812,2350000,4020.191713042567,46
2400,38.722582777702364,2400000,4060.918464630386,47
2450,63.89228673922823,2450000,4120.245551188764,48
2500,67.42449649502308,2500000,4146.7893761337655,49
2550,44.901403132252454,2550000,4230.863646672808,50
2600,65.14251745641677,2600000,4214.346213827008,51
2650,78.51548151039106,2650000,4282.947399850816,52
2700,80.92670147905122,2700000,4341.1251234268675,53
2750,40.991661895758696,2750000,4330.634950333042,54
2800,65.56424433620593,2800000,4370.398746780997,55
2850,46.472977623026146,2850000,4341.919017655716,56
2900,1059.6665900897399,2900000,4037.8642526218728,57
2950,69.44059139630345,2950000,4459.4626559189655,58
3000,68.0857084015228,3000000,4423.072597529069,59
3050,55.3523842505172,3050000,4462.464128312184,60
3100,54.38974421430893,3100000,4540.398726185064,61
3150,56.22383190832028,3150000,4570.067507948789,62
3200,84.42633054833159,3200000,4544.631990253913,63
3250,38.99359562332002,3250000,4632.170565236569,64
3300,87.08701400497391,3300000,4633.7529316217315,65
3350,50.21450675837536,3350000,4672.172046176893,66
3400,70.96460876713147,3400000,4650.558937623302,67
3450,73.68494148497345,3450000,4668.574816309008,68
3500,85.25681904215448,3500000,4704.041347407916,69
3550,471.57002181085846,3550000,4583.575901184662,70
3600,1524.7281655212541,3600000,4278.103237746523,71
3650,70.74385611797979,3650000,4813.762977353244,72
3700,53.73337580349843,3700000,4846.702119564071,73
3750,78.43436004736331,3750000,4888.341090792269,74
3800,54.77218070258142,3800000,4903.089634008322,75
3850,54.390430422565395,3850000,4903.271450132494,76
3900,39.142340950437564,3900000,4877.0665540594655,77
3950,53.68804506191928,3950000,4883.1691453281765,78
4000,56.23987697345739,4000000,4927.987662965598,79
4050,77.5452106859928,4050000,4961.912435097257,80
4100,51.3062219057061,4100000,4904.290477781202,81
4150,52.0568261605013,4150000,4947.784720256752,82
4200,86.22936358703676,4200000,4981.053779696066,83
4250,57.61278316835243,4250000,4985.1372192827375,84
4300,56.54364381035025,4300000,5006.255002068126,85
4350,1601.887249864189,4350000,4493.332983374855,86
4400,56.050135250625914,4400000,5065.871165156745,87
4450,64.02919226167845,4450000,5036.3824375971735,88
4500,100.34405474208913,4500000,5079.1167339402355,89
4550,84.5337912071835,4550000,5101.080432591458,90
4600,65.31191890230981,4600000,5102.972737573317,91
4650,60.28864115694675,4650000,5184.9387258349825,92
4700,41.88880322584826,4700000,5158.065548900802,93
4750,88.9465607929392,4750000,5128.805886051456,94
4800,69.7630104647012,4800000,5178.4730415373215,95
4850,55.56241650682164,4850000,5229.518591063899,96
4900,52.03795070578091,4900000,5225.934264776083,97
4950,56.878753507266396,4950000,5210.1300020582385,98
5000,70.7684041865229,5000000,5234.056207775204,99
